chembl_id,pred_sig_0.1,pred_sig_0.2,pred_sig_0.3,pred_sig_0.4,pred_sig_0.5,pred_sig_0.6,pred_sig_0.7
CHEMBL2105700,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105702,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105703,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105704,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL2105705,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105706,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2105707,1.0,1.0,1.0,1.0,Undefined,Undefined,Undefined
CHEMBL2105708,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105709,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105710,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105711,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105712,1.0,1.0,1.0,1.0,Undefined,Undefined,Undefined
CHEMBL2105713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105714,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105715,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2105716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105717,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105719,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105720,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105721,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105722,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105728,1.0,1.0,1.0,1.0,1.0,Undefined,Undefined
CHEMBL2105729,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL2105732,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2105733,1.0,1.0,1.0,1.0,Undefined,Undefined,Undefined
CHEMBL2105734,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105735,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105736,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105737,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105738,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105739,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105742,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105743,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
